[10:12:41] 📍 Loaded 754 district venues
[10:12:42] ✅ 1102173 → AUTH OK
[10:12:42] ✅ 7854 → AUTH OK
[10:12:42] ✅ 1102094 → AUTH OK
[10:12:42] ✅ 1102095 → AUTH OK
[10:12:42] ✅ 1102176 → AUTH OK
[10:12:43] ✅ 1101451 → AUTH OK
[10:12:43] ✅ 9736 → AUTH OK
[10:12:43] ✅ 1096482 → AUTH OK
[10:12:43] ✅ 1102090 → AUTH OK
[10:12:43] ✅ 1102164 → AUTH OK
[10:12:43] ✅ 1102270 → AUTH OK
[10:12:43] ✅ 1011906 → AUTH OK
[10:12:43] ✅ 1102248 → AUTH OK
[10:12:43] ✅ 1102256 → AUTH OK
[10:12:43] ✅ 1102182 → AUTH OK
[10:12:43] ✅ 1102071 → AUTH OK
[10:12:43] ✅ 7257 → AUTH OK
[10:12:43] ✅ 4222 → AUTH OK
[10:12:43] ✅ 1101521 → AUTH OK
[10:12:43] ✅ 1102082 → AUTH OK
[10:12:43] ✅ 1102181 → AUTH OK
[10:12:43] ✅ 1102073 → AUTH OK
[10:12:43] ✅ 1101568 → AUTH OK
[10:12:43] ✅ 1102165 → AUTH OK
[10:12:43] ✅ 1094756 → AUTH OK
[10:12:43] ✅ 1102277 → AUTH OK
[10:12:43] ✅ 1102269 → AUTH OK
[10:12:43] ✅ 1038431 → AUTH OK
[10:12:43] ✅ 1101471 → AUTH OK
[10:12:43] ✅ 1102272 → AUTH OK
[10:12:43] ✅ 1102047 → AUTH OK
[10:12:43] ✅ 1102273 → AUTH OK
[10:12:43] ✅ 1102265 → AUTH OK
[10:12:43] ✅ 1102166 → AUTH OK
[10:12:43] ✅ 1102080 → AUTH OK
[10:12:43] ✅ 1102174 → AUTH OK
[10:12:43] ✅ 1101590 → AUTH OK
[10:12:43] ✅ 1102213 → AUTH OK
[10:12:43] ✅ 1102241 → AUTH OK
[10:12:43] ✅ 1102247 → AUTH OK
[10:12:43] ✅ 1102084 → AUTH OK
[10:12:43] ✅ 1102184 → AUTH OK
[10:12:43] ✅ 1102242 → AUTH OK
[10:12:43] ✅ 1041690 → AUTH OK
[10:12:43] ✅ 1102261 → AUTH OK
[10:12:43] ✅ 1102299 → AUTH OK
[10:12:43] ✅ 1102055 → AUTH OK
[10:12:43] ✅ 1031589 → AUTH OK
[10:12:43] ✅ 1031364 → AUTH OK
[10:12:43] ✅ 1060495 → AUTH OK
[10:12:44] ✅ 1102253 → AUTH OK
[10:12:44] ✅ 1102132 → AUTH OK
[10:12:44] ✅ 1101423 → AUTH OK
[10:12:44] ✅ 1102123 → AUTH OK
[10:12:44] ✅ 1102106 → AUTH OK
[10:12:44] ✅ 1102291 → AUTH OK
[10:12:44] ✅ 1691 → AUTH OK
[10:12:44] ✅ 1101387 → AUTH OK
[10:12:44] ✅ 1102068 → AUTH OK
[10:12:44] ✅ 1102137 → AUTH OK
[10:12:44] ✅ 1042102 → AUTH OK
[10:12:44] ✅ 1053154 → AUTH OK
[10:12:44] ✅ 1102125 → AUTH OK
[10:12:44] ✅ 1056145 → AUTH OK
[10:12:44] ✅ 1078022 → AUTH OK
[10:12:44] ✅ 28486 → AUTH OK
[10:12:44] ✅ 4132 → AUTH OK
[10:12:44] ✅ 1102120 → AUTH OK
[10:12:44] ✅ 1101217 → AUTH OK
[10:12:44] ✅ 1039880 → AUTH OK
[10:12:44] ✅ 1102284 → AUTH OK
[10:12:44] ✅ 1080585 → AUTH OK
[10:12:44] ✅ 1102129 → AUTH OK
[10:12:44] ✅ 1102147 → AUTH OK
[10:12:44] ✅ 1102168 → AUTH OK
[10:12:44] ✅ 1100831 → AUTH OK
[10:12:44] ✅ 1102258 → AUTH OK
[10:12:44] ✅ 1101388 → AUTH OK
[10:12:44] ✅ 1078001 → AUTH OK
[10:12:44] ✅ 1102285 → AUTH OK
[10:12:44] ✅ 1101219 → AUTH OK
[10:12:44] ✅ 1102067 → AUTH OK
[10:12:44] ✅ 1102134 → AUTH OK
[10:12:44] ✅ 1102069 → AUTH OK
[10:12:44] ✅ 20834 → AUTH OK
[10:12:44] ✅ 1041689 → AUTH OK
[10:12:44] ✅ 1101368 → AUTH OK
[10:12:44] ✅ 5172 → AUTH OK
[10:12:44] ✅ 1037501 → AUTH OK
[10:12:44] ✅ 1101452 → AUTH OK
[10:12:44] ✅ 1102276 → AUTH OK
[10:12:44] ✅ 4911 → AUTH OK
[10:12:44] ✅ 14699 → AUTH OK
[10:12:44] ✅ 43628 → AUTH OK
[10:12:44] ✅ 1102124 → AUTH OK
[10:12:44] ✅ 1102078 → AUTH OK
[10:12:44] ✅ 1102275 → AUTH OK
[10:12:44] ✅ 1094757 → AUTH OK
[10:12:44] ✅ 1102294 → AUTH OK
[10:12:44] ✅ 1102236 → AUTH OK
[10:12:44] ✅ 1011900 → AUTH OK
[10:12:44] ✅ 1102104 → AUTH OK
[10:12:44] ✅ 5100 → AUTH OK
[10:12:44] ✅ 1102281 → AUTH OK
[10:12:45] ✅ 1020826 → AUTH OK
[10:12:45] ✅ 1102135 → AUTH OK
[10:12:45] ✅ 27047 → AUTH OK
[10:12:45] ✅ 1095009 → AUTH OK
[10:12:45] ✅ 1014604 → AUTH OK
[10:12:45] ✅ 14697 → AUTH OK
[10:12:45] ✅ 1027478 → AUTH OK
[10:12:45] ✅ 1052124 → AUTH OK
[10:12:45] ✅ 4175 → AUTH OK
[10:12:45] ✅ 1054725 → AUTH OK
[10:12:45] ✅ 1101222 → AUTH OK
[10:12:45] ✅ 1102228 → AUTH OK
[10:12:45] ✅ 1101523 → AUTH OK
[10:12:45] ✅ 1092638 → AUTH OK
[10:12:45] ✅ 1088548 → AUTH OK
[10:12:45] ✅ 1092639 → AUTH OK
[10:12:45] ✅ 1088547 → AUTH OK
[10:12:45] ✅ 27908 → AUTH OK
[10:12:45] ✅ 1094680 → AUTH OK
[10:12:45] ✅ 1102075 → AUTH OK
[10:12:45] ✅ 1054741 → AUTH OK
[10:12:45] ✅ 13772 → AUTH OK
[10:12:45] ✅ 1039949 → AUTH OK
[10:12:45] ✅ 1102239 → AUTH OK
[10:12:45] ✅ 1102099 → AUTH OK
[10:12:45] ✅ 1102227 → AUTH OK
[10:12:45] ✅ 11272 → AUTH OK
[10:12:45] ✅ 16605 → AUTH OK
[10:12:45] ✅ 1102107 → AUTH OK
[10:12:45] ✅ 1031592 → AUTH OK
[10:12:45] ✅ 1101449 → AUTH OK
[10:12:45] ✅ 4918 → AUTH OK
[10:12:45] ✅ 1102108 → AUTH OK
[10:12:45] ✅ 7686 → AUTH OK
[10:12:45] ✅ 29761 → AUTH OK
[10:12:45] ✅ 1102126 → AUTH OK
[10:12:45] ✅ 1102121 → AUTH OK
[10:12:45] ✅ 1042632 → AUTH OK
[10:12:45] ✅ 1037507 → AUTH OK
[10:12:45] ✅ 1102133 → AUTH OK
[10:12:45] ✅ 1060262 → AUTH OK
[10:12:45] ✅ 6081 → AUTH OK
[10:12:45] ✅ 3943 → AUTH OK
[10:12:45] ✅ 1102122 → AUTH OK
[10:12:45] ✅ 1102116 → AUTH OK
[10:12:45] ✅ 1101384 → AUTH OK
[10:12:45] ✅ 4184 → AUTH OK
[10:12:45] ✅ 1042465 → AUTH OK
[10:12:45] ✅ 1037033 → AUTH OK
[10:12:45] ✅ 1041688 → AUTH OK
[10:12:45] ✅ 1049243 → AUTH OK
[10:12:45] ✅ 1078025 → AUTH OK
[10:12:45] ✅ 11264 → AUTH OK
[10:12:45] ✅ 1074151 → AUTH OK
[10:12:45] ✅ 1051040 → AUTH OK
[10:12:45] ✅ 29998 → AUTH OK
[10:12:45] ✅ 50915 → AUTH OK
[10:12:45] ✅ 1044503 → AUTH OK
[10:12:46] ✅ 1037496 → AUTH OK
[10:12:46] ✅ 1093265 → AUTH OK
[10:12:46] ✅ 1040891 → AUTH OK
[10:12:46] ✅ 7714 → AUTH OK
[10:12:46] ✅ 1030389 → AUTH OK
[10:12:46] ✅ 1094334 → AUTH OK
[10:12:46] ✅ 1065383 → AUTH OK
[10:12:46] ✅ 1024804 → AUTH OK
[10:12:46] ✅ 1039878 → AUTH OK
[10:12:46] ✅ 1008705 → AUTH OK
[10:12:46] ✅ 1076602 → AUTH OK
[10:12:46] ✅ 1039847 → AUTH OK
[10:12:46] ✅ 1037228 → AUTH OK
[10:12:46] ✅ 1039860 → AUTH OK
[10:12:46] ✅ 1031638 → AUTH OK
[10:12:46] ✅ 1031636 → AUTH OK
[10:12:46] ✅ 1009194 → AUTH OK
[10:12:46] ✅ 1039846 → AUTH OK
[10:12:46] ✅ 1047659 → AUTH OK
[10:12:46] ✅ 1039875 → AUTH OK
[10:12:46] ✅ 1041687 → AUTH OK
[10:12:46] ✅ 4106 → AUTH OK
[10:12:46] ✅ 28206 → AUTH OK
[10:12:46] ✅ 1024343 → AUTH OK
[10:12:46] ✅ 1096733 → AUTH OK
[10:12:46] ✅ 1039862 → AUTH OK
[10:12:46] ✅ 2855 → AUTH OK
[10:12:46] ✅ 1041672 → AUTH OK
[10:12:46] ✅ 25805 → AUTH OK
[10:12:46] ✅ 1039864 → AUTH OK
[10:12:46] ✅ 9292 → AUTH OK
[10:12:46] ✅ 1001773 → AUTH OK
[10:12:46] ✅ 1089130 → AUTH OK
[10:12:46] ✅ 1036959 → AUTH OK
[10:12:46] ✅ 1018795 → AUTH OK
[10:12:46] ✅ 1097120 → AUTH OK
[10:12:46] ✅ 1040466 → AUTH OK
[10:12:46] ✅ 4097 → AUTH OK
[10:12:46] ✅ 1088822 → AUTH OK
[10:12:46] ✅ 1039865 → AUTH OK
[10:12:46] ✅ 1039850 → AUTH OK
[10:12:46] ✅ 9365 → AUTH OK
[10:12:46] ✅ 7258 → AUTH OK
[10:12:46] ✅ 9242 → AUTH OK
[10:12:46] ✅ 25803 → AUTH OK
[10:12:46] ✅ 1041685 → AUTH OK
[10:12:46] ✅ 36376 → AUTH OK
[10:12:46] ✅ 1039849 → AUTH OK
[10:12:46] ✅ 1098929 → AUTH OK
[10:12:46] ✅ 44361 → AUTH OK
[10:12:46] ✅ 1046654 → AUTH OK
[10:12:46] ✅ 27151 → AUTH OK
[10:12:46] ✅ 1041244 → AUTH OK
[10:12:46] ✅ 7543 → AUTH OK
[10:12:47] ✅ 1039851 → AUTH OK
[10:12:47] ✅ 1041449 → AUTH OK
[10:12:47] ✅ 56048 → AUTH OK
[10:12:47] ✅ 1039848 → AUTH OK
[10:12:47] ✅ 7813 → AUTH OK
[10:12:47] ✅ 4693 → AUTH OK
[10:12:47] ✅ 13958 → AUTH OK
[10:12:47] ✅ 14120 → AUTH OK
[10:12:47] ✅ 9920 → AUTH OK
[10:12:47] ✅ 4380 → AUTH OK
[10:12:47] ✅ 1056572 → AUTH OK
[10:12:47] ✅ 7841 → AUTH OK
[10:12:47] ✅ 1016089 → AUTH OK
[10:12:47] ✅ 1080239 → AUTH OK
[10:12:47] ✅ 28968 → AUTH OK
[10:12:47] ✅ 4189 → AUTH OK
[10:12:47] ✅ 27373 → AUTH OK
[10:12:47] ✅ 1041394 → AUTH OK
[10:12:47] ✅ 1018799 → AUTH OK
[10:12:47] ✅ 55733 → AUTH OK
[10:12:47] ✅ 1030438 → AUTH OK
[10:12:47] ✅ 4171 → AUTH OK
[10:12:47] ✅ 1075746 → AUTH OK
[10:12:47] ✅ 60083 → AUTH OK
[10:12:47] ✅ 4178 → AUTH OK
[10:12:47] ✅ 1022965 → AUTH OK
[10:12:47] ✅ 60085 → AUTH OK
[10:12:47] ✅ 1053400 → AUTH OK
[10:12:47] ✅ 1037518 → AUTH OK
[10:12:47] ✅ 1008456 → AUTH OK
[10:12:47] ✅ 1016053 → AUTH OK
[10:12:47] ✅ 1037525 → AUTH OK
[10:12:47] ✅ 24521 → AUTH OK
[10:12:47] ✅ 17069 → AUTH OK
[10:12:47] ✅ 1041743 → AUTH OK
[10:12:47] ✅ 1008418 → AUTH OK
[10:12:47] ✅ 1018652 → AUTH OK
[10:12:47] ✅ 7301 → AUTH OK
[10:12:47] ✅ 1041728 → AUTH OK
[10:12:47] ✅ 25804 → AUTH OK
[10:12:47] ✅ 1037961 → AUTH OK
[10:12:47] ✅ 9487 → AUTH OK
[10:12:47] ✅ 10940 → AUTH OK
[10:12:47] ✅ 1016133 → AUTH OK
[10:12:47] ✅ 1050791 → AUTH OK
[10:12:47] ✅ 55272 → AUTH OK
[10:12:47] ✅ 1049666 → AUTH OK
[10:12:47] ✅ 1016088 → AUTH OK
[10:12:47] ✅ 1053618 → AUTH OK
[10:12:47] ✅ 5059 → AUTH OK
[10:12:47] ✅ 1030504 → AUTH OK
[10:12:47] ✅ 1042615 → AUTH OK
[10:12:47] ✅ 1042640 → AUTH OK
[10:12:47] ✅ 1011174 → AUTH OK
[10:12:47] ✅ 1042635 → AUTH OK
[10:12:47] ✅ 1007054 → AUTH OK
[10:12:47] ✅ 1036962 → AUTH OK
[10:12:47] ✅ 4248 → AUTH OK
[10:12:48] ✅ 3960 → AUTH OK
[10:12:48] ✅ 28925 → AUTH OK
[10:12:48] ✅ 1037511 → AUTH OK
[10:12:48] ✅ 4232 → AUTH OK
[10:12:48] ✅ 1037502 → AUTH OK
[10:12:48] ✅ 1041504 → AUTH OK
[10:12:48] ✅ 22684 → AUTH OK
[10:12:48] ✅ 3910 → AUTH OK
[10:12:48] ✅ 4891 → AUTH OK
[10:12:48] ✅ 1042453 → AUTH OK
[10:12:48] ✅ 3981 → AUTH OK
[10:12:48] ✅ 14702 → AUTH OK
[10:12:48] ✅ 19528 → AUTH OK
[10:12:48] ✅ 6044 → AUTH OK
[10:12:48] ✅ 1037526 → AUTH OK
[10:12:48] ✅ 1012595 → AUTH OK
[10:12:48] ✅ 7881 → AUTH OK
[10:12:48] ✅ 32194 → AUTH OK
[10:12:48] ✅ 14694 → AUTH OK
[10:12:48] ✅ 4028 → AUTH OK
[10:12:48] ✅ 7534 → AUTH OK
[10:12:48] ✅ 4008 → AUTH OK
[10:12:48] ✅ 58633 → AUTH OK
[10:12:48] ✅ 9135 → AUTH OK
[10:12:48] ✅ 4067 → AUTH OK
[10:12:48] ✅ 10250 → AUTH OK
[10:12:48] ✅ 1067946 → AUTH OK
[10:12:48] ✅ 1019166 → AUTH OK
[10:12:48] ✅ 6057 → AUTH OK
[10:12:48] ✅ 25860 → AUTH OK
[10:12:48] ✅ 1018798 → AUTH OK
[10:12:48] ✅ 43348 → AUTH OK
[10:12:48] ✅ 1050645 → AUTH OK
[10:12:48] ✅ 1092958 → AUTH OK
[10:12:48] ✅ 1005799 → AUTH OK
[10:12:48] ✅ 1091219 → AUTH OK
[10:12:48] ✅ 1037530 → AUTH OK
[10:12:48] ✅ 1020333 → AUTH OK
[10:12:48] ✅ 1005798 → AUTH OK
[10:12:48] ✅ 1089067 → AUTH OK
[10:12:48] ✅ 1015289 → AUTH OK
[10:12:48] ✅ 1034375 → AUTH OK
[10:12:48] ✅ 1025291 → AUTH OK
[10:12:48] ✅ 1058533 → AUTH OK
[10:12:48] ✅ 27150 → AUTH OK
[10:12:48] ✅ 1041725 → AUTH OK
[10:12:48] ✅ 1023626 → AUTH OK
[10:12:48] ✅ 4608 → AUTH OK
[10:12:48] ✅ 1034383 → AUTH OK
[10:12:48] ✅ 1058794 → AUTH OK
[10:12:48] ✅ 1044095 → AUTH OK
[10:12:48] ✅ 1033632 → AUTH OK
[10:12:48] ✅ 1015291 → AUTH OK
[10:12:48] ✅ 1039768 → AUTH OK
[10:12:48] ✅ 1019593 → AUTH OK
[10:12:48] ✅ 1034186 → AUTH OK
[10:12:48] ✅ 1034254 → AUTH OK
[10:12:49] ✅ 24929 → AUTH OK
[10:12:49] ✅ 4042 → AUTH OK
[10:12:49] ✅ 44966 → AUTH OK
[10:12:49] ✅ 496 → AUTH OK
[10:12:49] ✅ 27715 → AUTH OK
[10:12:49] ✅ 1039751 → AUTH OK
[10:12:49] ✅ 27716 → AUTH OK
[10:12:49] ✅ 1013208 → AUTH OK
[10:12:49] ✅ 1063761 → AUTH OK
[10:12:49] ✅ 1088790 → AUTH OK
[10:12:49] ✅ 1016986 → AUTH OK
[10:12:49] ✅ 4306 → AUTH OK
[10:12:49] ✅ 28214 → AUTH OK
[10:12:49] ✅ 7747 → AUTH OK
[10:12:49] ✅ 1083399 → AUTH OK
[10:12:49] ✅ 24351 → AUTH OK
[10:12:49] ✅ 4217 → AUTH OK
[10:12:49] ✅ 1037520 → AUTH OK
[10:12:49] ✅ 1020288 → AUTH OK
[10:12:49] ✅ 9373 → AUTH OK
[10:12:49] ✅ 52996 → AUTH OK
[10:12:49] ✅ 1088803 → AUTH OK
[10:12:49] ✅ 7752 → AUTH OK
[10:12:49] ✅ 31987 → AUTH OK
[10:12:49] ✅ 1036961 → AUTH OK
[10:12:49] ✅ 1039424 → AUTH OK
[10:12:49] ✅ 1037142 → AUTH OK
[10:12:49] ✅ 1041692 → AUTH OK
[10:12:49] ✅ 1067686 → AUTH OK
[10:12:49] ✅ 1015795 → AUTH OK
[10:12:49] ✅ 509 → AUTH OK
[10:12:49] ✅ 16791 → AUTH OK
[10:12:49] ✅ 1063452 → AUTH OK
[10:12:49] ✅ 44366 → AUTH OK
[10:12:49] ✅ 1053939 → AUTH OK
[10:12:49] ✅ 1020190 → AUTH OK
[10:12:49] ✅ 26401 → AUTH OK
[10:12:49] ✅ 4332 → AUTH OK
[10:12:49] ✅ 1003802 → AUTH OK
[10:12:49] ✅ 7222 → AUTH OK
[10:12:49] ✅ 9420 → AUTH OK
[10:12:49] ✅ 1008409 → AUTH OK
[10:12:49] ✅ 15527 → AUTH OK
[10:12:49] ✅ 22305 → AUTH OK
[10:12:49] ✅ 30524 → AUTH OK
[10:12:49] ✅ 1030422 → AUTH OK
[10:12:49] ✅ 5041 → AUTH OK
[10:12:49] ✅ 1005991 → AUTH OK
[10:12:49] ✅ 1041753 → AUTH OK
[10:12:49] ✅ 1065451 → AUTH OK
[10:12:49] ✅ 6093 → AUTH OK
[10:12:49] ✅ 522 → AUTH OK
[10:12:49] ✅ 32294 → AUTH OK
[10:12:50] ✅ 1008335 → AUTH OK
[10:12:50] ✅ 25938 → AUTH OK
[10:12:50] ✅ 1003773 → AUTH OK
[10:12:50] ✅ 26230 → AUTH OK
[10:12:50] ✅ 1039842 → AUTH OK
[10:12:50] ✅ 1039877 → AUTH OK
[10:12:50] ✅ 9411 → AUTH OK
[10:12:50] ✅ 9413 → AUTH OK
[10:12:50] ✅ 4739 → AUTH OK
[10:12:50] ✅ 4107 → AUTH OK
[10:12:50] ✅ 26676 → AUTH OK
[10:12:50] ✅ 1040228 → AUTH OK
[10:12:50] ✅ 62637 → AUTH OK
[10:12:50] ✅ 1005804 → AUTH OK
[10:12:50] ✅ 1021922 → AUTH OK
[10:12:50] ✅ 4902 → AUTH OK
[10:12:50] ✅ 1012189 → AUTH OK
[10:12:50] ✅ 25808 → AUTH OK
[10:12:50] ✅ 1040731 → AUTH OK
[10:12:50] ✅ 36879 → AUTH OK
[10:12:50] ✅ 1039272 → AUTH OK
[10:12:50] ✅ 14166 → AUTH OK
[10:12:50] ✅ 9424 → AUTH OK
[10:12:50] ✅ 1041505 → AUTH OK
[10:12:50] ✅ 25011 → AUTH OK
[10:12:50] ✅ 4036 → AUTH OK
[10:12:50] ✅ 9474 → AUTH OK
[10:12:50] ✅ 4733 → AUTH OK
[10:12:50] ✅ 9551 → AUTH OK
[10:12:50] ✅ 9491 → AUTH OK
[10:12:50] ✅ 9350 → AUTH OK
[10:12:50] ✅ 1037345 → AUTH OK
[10:12:50] ✅ 7350 → AUTH OK
[10:12:50] ✅ 1042439 → AUTH OK
[10:12:50] ✅ 1034324 → AUTH OK
[10:12:50] ✅ 1005797 → AUTH OK
[10:12:50] ✅ 1071622 → AUTH OK
[10:12:50] ✅ 4272 → AUTH OK
[10:12:50] ✅ 1008404 → AUTH OK
[10:12:50] ✅ 1031296 → AUTH OK
[10:12:50] ✅ 1027903 → AUTH OK
[10:12:50] ✅ 1025740 → AUTH OK
[10:12:50] ✅ 4725 → AUTH OK
[10:12:50] ✅ 4715 → AUTH OK
[10:12:50] ✅ 5058 → AUTH OK
[10:12:50] ✅ 9132 → AUTH OK
[10:12:50] ✅ 26640 → AUTH OK
[10:12:51] ✅ 14669 → AUTH OK
[10:12:51] ✅ 42945 → AUTH OK
[10:12:51] ✅ 1037532 → AUTH OK
[10:12:51] ✅ 1014990 → AUTH OK
[10:12:51] ✅ 1015840 → AUTH OK
[10:12:51] ✅ 1037523 → AUTH OK
[10:12:51] ✅ 1065987 → AUTH OK
[10:12:51] ✅ 18823 → AUTH OK
[10:12:51] ✅ 1052503 → AUTH OK
[10:12:51] ✅ 4050 → AUTH OK
[10:12:51] ✅ 1015442 → AUTH OK
[10:12:51] ✅ 1064038 → AUTH OK
[10:12:51] ✅ 46485 → AUTH OK
[10:12:51] ✅ 1037514 → AUTH OK
[10:12:51] ✅ 1012081 → AUTH OK
[10:12:51] ✅ 1016381 → AUTH OK
[10:12:51] ✅ 1041473 → AUTH OK
[10:12:51] ✅ 1036772 → AUTH OK
[10:12:51] ✅ 51499 → AUTH OK
[10:12:51] ✅ 1037506 → AUTH OK
[10:12:51] ✅ 18460 → AUTH OK
[10:12:51] ✅ 7679 → AUTH OK
[10:12:51] ✅ 9136 → AUTH OK
[10:12:51] ✅ 1041496 → AUTH OK
[10:12:51] ✅ 1020453 → AUTH OK
[10:12:51] ✅ 4045 → AUTH OK
[10:12:51] ✅ 7618 → AUTH OK
[10:12:51] ✅ 7137 → AUTH OK
[10:12:51] ✅ 16522 → AUTH OK
[10:12:51] ✅ 27219 → AUTH OK
[10:12:51] ✅ 5145 → AUTH OK
[10:12:51] ✅ 1037510 → AUTH OK
[10:12:51] ✅ 1041242 → AUTH OK
[10:12:51] ✅ 1041393 → AUTH OK
[10:12:51] ✅ 1041458 → AUTH OK
[10:12:51] ✅ 1084553 → AUTH OK
[10:12:51] ✅ 1015286 → AUTH OK
[10:12:51] ✅ 1020547 → AUTH OK
[10:12:51] ✅ 4051 → AUTH OK
[10:12:51] ✅ 3965 → AUTH OK
[10:12:51] ✅ 25571 → AUTH OK
[10:12:51] ✅ 1037531 → AUTH OK
[10:12:51] ✅ 1039840 → AUTH OK
[10:12:51] ✅ 55466 → AUTH OK
[10:12:51] ✅ 1032461 → AUTH OK
[10:12:51] ✅ 9174 → AUTH OK
[10:12:51] ✅ 25045 → AUTH OK
[10:12:51] ✅ 7232 → AUTH OK
[10:12:51] ✅ 26281 → AUTH OK
[10:12:51] ✅ 1075745 → AUTH OK
[10:12:51] ✅ 30784 → AUTH OK
[10:12:52] ✅ 1037527 → AUTH OK
[10:12:52] ✅ 1032460 → AUTH OK
[10:12:52] ✅ 1016383 → AUTH OK
[10:12:52] ✅ 9384 → AUTH OK
[10:12:52] ✅ 1037491 → AUTH OK
[10:12:52] ✅ 1003767 → AUTH OK
[10:12:52] ✅ 55853 → AUTH OK
[10:12:52] ✅ 1037503 → AUTH OK
[10:12:52] ✅ 9194 → AUTH OK
[10:12:52] ✅ 9246 → AUTH OK
[10:12:52] ✅ 18164 → AUTH OK
[10:12:52] ✅ 25181 → AUTH OK
[10:12:52] ✅ 1007282 → AUTH OK
[10:12:52] ✅ 19513 → AUTH OK
[10:12:52] ✅ 3896 → AUTH OK
[10:12:52] ✅ 1035744 → AUTH OK
[10:12:52] ✅ 1088811 → AUTH OK
[10:12:52] ✅ 1015975 → AUTH OK
[10:12:52] ✅ 5182 → AUTH OK
[10:12:52] ✅ 1037516 → AUTH OK
[10:12:52] ✅ 1029684 → AUTH OK
[10:12:52] ✅ 1012280 → AUTH OK
[10:12:52] ✅ 1037517 → AUTH OK
[10:12:52] ✅ 9285 → AUTH OK
[10:12:52] ✅ 1042605 → AUTH OK
[10:12:52] ✅ 1041239 → AUTH OK
[10:12:52] ✅ 1041804 → AUTH OK
[10:12:52] ✅ 5220 → AUTH OK
[10:12:52] ✅ 1037521 → AUTH OK
[10:12:52] ✅ 5150 → AUTH OK
[10:12:52] ✅ 1032901 → AUTH OK
[10:12:52] ✅ 62250 → AUTH OK
[10:12:52] ✅ 4889 → AUTH OK
[10:12:52] ✅ 16523 → AUTH OK
[10:12:52] ✅ 1047917 → AUTH OK
[10:12:52] ✅ 1020338 → AUTH OK
[10:12:52] ✅ 4919 → AUTH OK
[10:12:52] ✅ 1056892 → AUTH OK
[10:12:52] ✅ 1061843 → AUTH OK
[10:12:52] ✅ 14354 → AUTH OK
[10:12:52] ✅ 6119 → AUTH OK
[10:12:52] ✅ 1040181 → AUTH OK
[10:12:52] ✅ 1041683 → AUTH OK
[10:12:52] ✅ 1036383 → AUTH OK
[10:12:52] ✅ 4780 → AUTH OK
[10:12:52] ✅ 4910 → AUTH OK
[10:12:52] ✅ 17483 → AUTH OK
[10:12:52] ✅ 1041199 → AUTH OK
[10:12:52] ✅ 9661 → AUTH OK
[10:12:53] ✅ 29954 → AUTH OK
[10:12:53] ✅ 1050804 → AUTH OK
[10:12:53] ✅ 9784 → AUTH OK
[10:12:53] ✅ 1052727 → AUTH OK
[10:12:53] ✅ 1084822 → AUTH OK
[10:12:53] ✅ 7293 → AUTH OK
[10:12:53] ✅ 1041732 → AUTH OK
[10:12:53] ✅ 1033177 → AUTH OK
[10:12:53] ✅ 7537 → AUTH OK
[10:12:53] ✅ 25281 → AUTH OK
[10:12:53] ✅ 1018468 → AUTH OK
[10:12:53] ✅ 4852 → AUTH OK
[10:12:53] ✅ 27725 → AUTH OK
[10:12:53] ✅ 1041726 → AUTH OK
[10:12:53] ✅ 1006037 → AUTH OK
